Commental title,Review main body
Squid game,"1. The story is compact, humanity is wonderful than the story, and every step is unexpected, it is unexpected, but it is very in line with the characters. It feels that it is the least film in so many TV series in recent years. 2.6 The game design is very ""pediatrics"", are children who will play: one or two wood people, buckle cake, tug-of-war, marble, over wooden bridge, squid game. But the pediatrics game becomes a horrible kill"
Do you believe in humanity?,/
What ghost? Purchase!,/
Squid game world,"WeChat public number: Lamotta_yajie Zhiying said: Jiang Xiao, thank you for playing with me. ""Squid Game"" is still a familiar Korean taste, small room, dispensed Korean meal, spicy cabbage, tofu soup and rice, convenient store to buy a burning wine, roadside booth to eat spicy rice cake. Speaking must shout out, don't divide men, women, women, cool and cool, stumbling boys, loss of high-quality students, including Xinru, old mother"
The kind article is worthless,/
"For the little bit of good in humanity - ""Squid Effect"" Humanity Analysis","""Squid game"" is hot, followed. From the content, ""squid game"" seems to be similar to ""big escape"", ""hunger game"", in a fixed scene, people with others, and finally only one person surprises. In order to win the game, the evil in human nature is rapidly enlarged: strength, deception, betrayal, danger of people"
"Who can make a Chinese version of ""squid game""?","Written Ø­ ÕÅ ±à ÃÀ Ûß Ûß Óé ¹Ù ¹Ù ¹Ù: ID: Wenyujiazhiguan If you haven't seen this Korean drama, you must have seen these masks, clothing, symbols on various channels, media. ""Squid Game"" is 2021 global ""outstanding"" episode, which breaks the barriers of the language and the region, and passes the global users with the communication of the humanity, even those who do not register Netflix."
Why is IMDB rating Higherbee?,/
Squid game space aesthetics,"""Squid Game"" spent two days to finish, although the plots and characters are very good, but even more impressive is the space aesthetics inside: Tensile, both fake the emotions and metaphors, it is really a case. Talk a few times I think the design is a special smart scene. ¡¤ 1 The dormitory is surrounded by a large open space around the middle, and the bed looks like ancient Roman fighting beasts, indicating this"
Happy big BOSS,/
"""Squid game""","When you look at the first few episodes, it is really cool. Every day, I look forward to eating, because this will be seen, and the result is speechless today. . . I still want to play four stars, a star is buckled because ____ Marketing is over and some people take the opportunity to hold the opportunity to borrow China and the slide exposure IQ. . The last episode let me deduct a star, seeing me too depressed too speechless"
Successful,/
"Analysis of the meaning and shooting of various image symbols of ""squid game"" from the creation intention",/
"""Squid Game"": Look this, who dares to kill the child's childhood game?","""One or two wood people"", pickup, tug, marble, glass bridge, squid game, so simple 6 small games, or add paper tabs, is a childhood memory of too many people. When we are still a child, it is easy to immerse to these rules that are very simple in small games with the small friends. But when these games have to die, these games are no longer a game, simple rules become a slaughter"
